"ISO","year","regime_type","election","obs_bin","obs_bin_max","obs_count","obs_count_max","demi","demi_max","source","obs_vdem","obs_qed"
"AFG",1990,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AFG",1991,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AFG",1992,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AFG",1993,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AFG",1994,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AFG",1995,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AFG",1996,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AFG",1997,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AFG",1998,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AFG",1999,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AFG",2000,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AFG",2001,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AFG",2002,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AFG",2003,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AFG",2004,"Electoral autocracy",1,1,1,1,1,"Free and Fair Election Foundation of Afghanistan","Free and Fair Election Foundation of Afghanistan","https://www.eods.eu/library/FR%20AFGHANISTAN%202004_en.pdf",1,0
"AFG",2005,"Electoral autocracy",1,1,1,1,1,"Free and Fair Election Foundation of Afghanistan","Free and Fair Election Foundation of Afghanistan","https://www.ndi.org/sites/default/files/2004_af_report_041006.pdf",1,NA
"AFG",2006,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AFG",2007,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AFG",2008,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AFG",2009,"Electoral autocracy",1,1,1,1,1,"Free and Fair Election Foundation of Afghanistan","Free and Fair Election Foundation of Afghanistan","https://en.wikipedia.org/wiki/2009_Afghan_presidential_election, https://aerc.anfrel.org/country/afghanistan/election-monitoring/",1,NA
"AFG",2010,"Electoral autocracy",1,1,1,2,2,"Free and Fair Election Foundation of Afghanistan, Transparent Election Foundation of Afghanistan","Free and Fair Election Foundation of Afghanistan, Transparent Election Foundation of Afghanistan","https://twitter.com/FreeElectionAfg/status/25011398765?cxt=HHwW2qHdrLoBAAAA, https://aerc.anfrel.org/country/afghanistan/election-monitoring/",1,NA
"AFG",2011,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AFG",2012,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AFG",2013,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AFG",2014,"Electoral autocracy",1,1,1,4,4,"Free and Fair Election Foundation of Afghanistan, Transparent Election Foundation of Afghanistan, Afghanistan National Participation Organization, Election and Transparency Watch Organization of Afghanistan","Free and Fair Election Foundation of Afghanistan, Transparent Election Foundation of Afghanistan, Afghanistan National Participation Organization, Election and Transparency Watch Organization of Afghanistan","https://twitter.com/FreeElectionAfg/status/490772587560337410?cxt=HHwWhIDEsK7Eyc8NAAAA, https://www.osce.org/files/f/documents/e/5/129761.pdf, https://www.facebook.com/nationalparticipation/posts/pfbid0W49jQpaM89REMWUs3i2qmrSGcgbPbGC2TwohX9DrC84mrdhnVY1EVFyFbg3TKGNXl, https://www.facebook.com/www.ewa.org.af/posts/pfbid0nksVs4jXp7wqoPV1VLD9TPzvSMxDtM5QCko6FCPo4K9WAGyGjv8a2PfUq41MH2Apl",1,NA
"AFG",2015,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AFG",2016,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AFG",2017,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AFG",2018,"Electoral autocracy",1,1,1,3,3,"Free and Fair Election Foundation of Afghanistan, Transparent Election Foundation of Afghanistan, Election and Transparency Watch Organization of Afghanistan","Free and Fair Election Foundation of Afghanistan, Transparent Election Foundation of Afghanistan, Election and Transparency Watch Organization of Afghanistan","https://twitter.com/FreeElectionAfg/status/1046691025509642241?cxt=HHwWgsC70aX8y4YdAAAA, https://www.facebook.com/TEFACSO/videos/302904893627972/, https://www.facebook.com/www.ewa.org.af/posts/pfbid02tLgJQkd8zsw41FkkUMbk4WGa9fFxAMjrrf7FQmdPRojU3UE6jTeA7JWyteqqCJt2l",1,NA
"AFG",2019,"Electoral autocracy",1,1,1,3,3,"Free and Fair Election Foundation of Afghanistan, Election and Transparency Watch Organization of Afghanistan, Transparent Election Foundation of Afghanistan","Free and Fair Election Foundation of Afghanistan, Election and Transparency Watch Organization of Afghanistan, Transparent Election Foundation of Afghanistan","https://anfrel.org/statement-current-state-of-election-process-requires-efficient-transparent-management-of-iec-stakeholders-cooperation-needed-fefa/, https://www.facebook.com/www.ewa.org.af/posts/pfbid02x49egciUfwFbEnd4T4bTqbw4a8BFSECrmAfzpr7AwgoLgrV4yfV6zVhEwAZKQUohl, https://www.facebook.com/TEFACSO/photos/a.1304700219589097/2536154076443699/",1,NA
"AFG",2020,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AFG",2021,"Electoral autocracy",0,0,0,0,0,NA,NA,NA,0,NA
"AGO",1990,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AGO",1991,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AGO",1992,"Electoral autocracy",1,0,1,0,1,NA,"National Platform of Civil Society",NA,1,1
"AGO",1993,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
"AGO",1994,"Closed autocracy",0,0,0,0,0,NA,NA,NA,0,0
