"DONE","ID","ISO","country","name_1","name_2","abbr_1","founded","website","Facebook","Twitter","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
1,10000,"AFG","Afghanistan","Afghanistan National Participation Organization",NA,"ANPO",2003,"https://fahi63.wixsite.com/anpo","https://www.facebook.com/nationalparticipation","https://x.com/afghannpo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"0","0",NA,NA,NA,"1",NA,NA,NA,"0","0",NA,NA
1,10001,"AFG","Afghanistan","Free and Fair Election Foundation of Afghanistan","افغانستان د ازاد او عادلانه ټولټاکنو ټولنیزه موسسه","FEFA",2004,"http://fefa.org.af","https://www.facebook.com/FreeElectionAfg","https://twitter.com/FreeElectionAfg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,"1","1",NA,NA,NA,"1",NA,NA,NA,"1","1",NA,NA
1,10003,"AFG","Afghanistan","Transparent Election Foundation of Afghanistan",NA,"TEFA",2009,"http://www.tefa.org.af","https://www.facebook.com/TEFACSO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"0","1",NA,NA,NA,"1",NA,NA,NA,"1","1",NA,NA
1,10005,"ALB","Albania","Albanian Helsinki Committee","Komitetit Shqiptar te Helsinkit (KSHH)","AHC",1990,"http://www.ahc.org.al/","https://www.facebook.com/KomitetiShqiptarIHelsinkit/","https://twitter.com/KomitetiShqipta",NA,"0","0",NA,NA,NA,"1","1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1"
1,10010,"ALB","Albania","Coalition for Free and Fair Elections and Sustainable Democracy","Koalicioni për Zgjedhje të Lira e të Ndershme e për Demokraci të Qendrueshme (KZLN)","CFFESD",2014,"http://www.kzln.org.al/","https://www.facebook.com/KoalicioniPerZgjedhjeTeLiraETeNdershme","https://twitter.com/KZLN_CFFE",NA,"0","0",NA,NA,NA,"0","0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"DK"
1,10013,"ALB","Albania","Kombinat Center For Women and Children","Shoqata Për gratë dhe femijët","SHPGF",1997,NA,"https://www.facebook.com/shpgf.qendrakombinat/",NA,NA,"0","0",NA,NA,NA,"0","DK",NA,NA,NA,"DK",NA,NA,NA,"DK",NA,NA,NA,"DK",NA,NA,NA,"DK",NA,NA,NA,"DK",NA,NA,NA,"DK"
1,10014,"ALB","Albania","KRIIK Albania Association","Shoqata KRIIK Albania","KRIIK",1997,"https://kriik.al/home/kush-jemi-2/","https://www.facebook.com/KRIIK-Albania-122432353024","https://twitter.com/kriikalbania",NA,"0","0",NA,NA,NA,"0","DK",NA,NA,NA,"DK",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1"
1,10016,"ALB","Albania","PolitOn Centre",NA,NA,2013,"http://politon.eu/","https://www.facebook.com/www.politon.eu/","https://twitter.com/CenterPolitOn",NA,"0","0",NA,NA,NA,"0","0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"1",NA,NA,NA,"DK",NA,NA,NA,"DK"
1,10017,"ALB","Albania","Society for Democratic Culture","Koalicioni i Vezhguesve Vendore","SDC",1992,NA,"https://www.facebook.com/koalicioniKVV",NA,NA,"0","0",NA,NA,NA,"0","0",NA,NA,NA,"0",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1"
1,10019,"ALB","Albania","Women's Democracy Network",NA,NA,2012,"http://www.wdnalbania.org/","https://www.facebook.com/Womens-Democracy-Network-Albania-Chapter-232728526885577/info/?tab=page_info",NA,NA,"0","0",NA,NA,NA,"0","0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1"
